Concepto;Ley de Presupuesto Vigente;Ejecución
Ingresos;124.774.019.000;15.665.206.288
05 TRANSFERENCIAS CORRIENTES;15.336.018.000;1.127.305.531
06 RENTAS DE LA PROPIEDAD;5.325.000;80.148
07 INGRESOS DE OPERACIÓN;2.562.899.000;55.846.434
08 OTROS INGRESOS CORRIENTES;835.381.000;1.239.996.070
09 APORTE FISCAL;101.746.675.000;13.155.688.000
10 VENTA DE ACTIVOS NO FINANCIEROS;11.298.000;0
12 RECUPERACION DE PRESTAMOS;1.454.426.000;86.290.105
15 SALDO INICIAL DE CAJA;2.821.997.000;0
Gastos;124.774.019.000;19.069.472.415
21 GASTOS EN PERSONAL;22.687.490.000;2.985.241.985
22 BIENES Y SERVICIOS DE CONSUMO;3.413.892.000;476.052.958
23 PRESTACIONES DE SEGURIDAD SOCIAL;552.594.000;511.152.544
24 TRANSFERENCIAS CORRIENTES;73.094.823.000;8.138.370.409
25 INTEGROS AL FISCO;552.508.000;18.141.415
26 OTROS GASTOS CORRIENTES;487.779.000;116.693.658
29 ADQUISICION DE ACTIVOS NO FINANCIEROS;768.672.000;325.058.220
31 INICIATIVAS DE INVERSION;6.715.821.000;1.753.763.419
32 PRESTAMOS;148.376.000;0
33 TRANSFERENCIAS DE CAPITAL;16.169.867.000;4.764.300.000
34 SERVICIO DE LA DEUDA;182.197.000;(19.302.193)
Resultado;0;(3.404.266.127)
