PLANILLA DE DECRETOS POR PROGRAMA PERIODO 2020;;;;;;;;;;
Estados de Decretos: Totalmente tramitados al 31-12;;;;;;;;;;
Moneda Nacional - Miles de pesos;;;;;;;;;;
260202 PROGRAMA: FONDO NACIONAL PARA EL FOMENTO DEL DEPORTE;;;;;;;;;;
;;;DECRETOS;LEY INICIAL;N° 477;N° 671;N° 675;N°1573;N°1948;VIGENTE
;;;FECHA;;08-04-2020;12-05-2020;29-05-2020;25-09-2020;23-12-2020;
SUBT;ITEM;ASIG;TOTAL INGRESOS;4.441.190;-265.093;-54.974;-2.558.782;-;1.091.463;2.653.804
05;;;TRANSFERENCIAS CORRIENTES;5.284;;;;;;5.284
;01;;Del Sector Privado;5.284;;;;;;5.284
;;001;Donaciones;5.284;;;;;;5.284
;02;;Del Gobierno Central;;;;;;;-
;;002;Instituto Nacional de Deportes;;;;;;;-
08;;;OTROS INGRESOS CORRIENTES;169.085;-;-;-;-;-;169.085
;99;;Otros;169.085;;;;;;169.085
09;;;APORTE FISCAL;4.266.821;-265.093;-54.974;-2.558.782;-;-;1.387.972
;01;;Libre;4.266.821;-265.093;-54.974;-2.558.782;-;-;1.387.972
15;;;SALDO INICIAL DE CAJA;-;-;-;-;-;1.091.463;1.091.463
SUBT;ITEM;ASIG;TOTAL GASTOS;4.441.190;-265.093;-54.974;-2.558.782;-;1.091.463;2.653.804
22;;;BIENES Y SERVICIOS DE CONSUMO;213.067;-53.093;-54.974;;;;105.000
24;;;TRANSFERENCIAS CORRIENTES;4.228.123;-212.000;-;-2.558.782;-;-;1.457.341
;01;;Al Sector Privado;2.959.686;-118.806;-;-1.383.539;-;-;1.457.341
;;346;Formación para el Deporte;821.114;-36.070;;-345.415;-6.220;;433.409
;;347;Deporte Recreativo;800.542;-34.210;;-413.001;-5.978;;347.353
;;348;Deporte de Competición;1.281.891;-42.912;;-604.598;12.198;;646.579
;;349;Ciencias del Deporte;56.139;-5.614;;-20.525;;;30.000
;03;;A Otras Entidades Públicas;1.268.437;-93.194;-;-1.175.243;-;-;-
;;042;Ciencias del Deporte;32.459;-27.159;;-5.300;;;-
;;050;Formación para el Deporte;385.621;-20.667;;-364.954;;;-
;;051;Deporte Recreativo;449.196;-22.909;;-426.287;;;-
;;052;Deporte de Competición;401.161;-22.459;;-378.702;;;-
25;;;INTEGROS AL FISCO;-;-;-;-;-;1.091.463;1.091.463
;99;;Otros Integros al Fisco;;;;;;1.091.463;1.091.463
34;;;SERVICIO DE LA DEUDA;-;-;-;-;-;-;-
;07;;Deuda Flotante;-;-;-;-;-;-;-
;;001;Aportes a Otras Entidades Públicas;;;;;;;-
35;;;SALDO FINAL DE CAJA;-;-;-;-;-;-;-
