PLANILLA DE DECRETOS POR PROGRAMA PERIODO 2021;;;;;;;;;;;;;;;;;;;;;
Estados de Decretos: Totalmente tramitados al 31-12;;;;;;;;;;;;;;;;;;;;;
Moneda Nacional - Miles de pesos;;;;;;;;;;;;;;;;;;;;;
260201 PROGRAMA: INSTITUTO NACIONAL DE DEPORTES;;;;;;;;;;;;;;;;;;;;;
;;;DECRETOS;LEY INICIAL;N°34;N°490;N°471;N°760;N°941;N°962;N°1030;N°1603;N°1602;N°2314;N°2372;N°2374;N° 2592;N°2623;N°2661;N°2780;VIGENTE
;;;FECHA;;21-01-2021;23-03-2021;17-03-2021;04-05-2021;17-05-2021;02-06-2021;03-06-2021;24-09-2021;01-10-2021;07-12-2021;09-12-2021;09-12-2021;23-12-2021;23-12-2021;28-12-2021;29-12-2021;
;;;INGRESOS TOTALES;143.045.920;-8.643.886;;6.214.146;;;23.445;34.027;;2.889;-1.840.633;1.703.633;;-;-4.894.253;406.743;-6.500.000;129.552.031
05;;;TRANSFERENCIAS CORRIENTES;12.866.708;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;12.866.708
;01;;Del Sector Privado;-;;;;;;;;;;;;;;;;;-
;;003;Administración del Fondo para Bonificación por Retiro;-;;;;;;;;;;;;;;;;;-
;03;;De Otras Entidades Públicas;12.866.708;;;;;;;;;;;;;;;;;12.866.708
;;08;Polla Chilena de Beneficencia;12.866.708;;;;;;;;;;;;;;;;;12.866.708
06;;;RENTAS DE LA PROPIEDAD;844;;;;;;;;;;;;;;;;;844
07;;;INGRESOS DE OPERACION;1.851.876;;;;;;;;;;;;;;;;;1.851.876
;02;;Venta de Servicios;1.851.876;;;;;;;;;;;;;;;;;1.851.876
08;;;OTROS INGRESOS CORRIENTES;979.534;-;-;-;-;-;-;-;34.027;-;;-;-;-;32.529;-284.075;-;762.015
;01;;Recuperaciones y Reembolsos por Licencias Médicas;690.818;;;;;;;;;;;;;;;;;690.818
;02;;Multas y Sanciones Pecunarias;;;;;;;;;;;;;;;;;;-
;99;;Otros;288.716;;;;;;;;34.027;;;;;;32.529;-284.075;;71.197
09;;;APORTE FISCAL;117.624.240;-;-;-;-;-336.777;-158.888;23.445;-;-;2.889;-1.840.633;1.703.633;;-4.926.782;690.818;-6.500.000;106.281.945
;01;;Libre;117.624.240;;;;;-336.777;-158.888;23.445;;;2.889;-1.840.633;1.703.633;;-4.926.782;690.818;-6.500.000;106.281.945
